hash;;author;;date;;message;;additions;;additions_kt;;additions_py;;deletions;;deletions_kt;;deletions_py
c93152f56edbaaa72e636bc337a2aa561fdb7038;;Ivan Kupriyanov;;Tue Oct 15 20:16:39 2024 +0200;;brush color for hyperlink in JFX.;;29;;29;;0;;9;;9;;0
d513102522ca5333997e5c087e475194caf84fde;;Igor Alshannikov;;Tue Oct 15 12:23:30 2024 -0400;;interact: add ggtb support to gggrid.;;441;;435;;6;;155;;150;;5
da67dd3f549adfc0a2f5628db304df709cbcfa01;;Valentin Dovidaytis;;Tue Oct 15 12:40:56 2024 +0200;;Update RELEASE.md file;;6;;0;;0;;6;;0;;0
6a92cec005f70a6ea442e525ce73a344f036912c;;Ivan Kupriyanov;;Mon Oct 14 22:51:04 2024 +0200;;Support SvgAElement in JFX.;;151;;151;;0;;60;;60;;0
7181b2667c43de38e6d33f05ea46477de760c38b;;Olga Larionova;;Mon Oct 14 19:14:17 2024 +0300;;Theme legend spacing and margins (#1209);;1389;;226;;27;;80;;78;;2
9ac0ed8762a75472e2587ee270ff203bd79f72a0;;Olga Larionova;;Mon Oct 14 18:58:49 2024 +0300;;New methods to specify `linetype` (#1208);;894;;253;;9;;11;;8;;2
8c9fa2d5709c4059abce4e05def3828a812484ea;;Ivan Kupriyanov;;Fri Oct 11 19:05:58 2024 +0200;;Experimental anchor style impl (#1207);;31;;31;;0;;10;;10;;0
26e9ec78e2fd172781d0124b83f85b05b65942bc;;Ivan Kupriyanov;;Thu Oct 10 22:31:53 2024 +0200;;Update interactive_links.ipynb;;5;;0;;0;;5;;0;;0
34608ff49013b300a605d28c5c62d977f1829acd;;Ivan Kupriyanov;;Thu Oct 10 22:31:04 2024 +0200;;Update future_changes.md;;65;;0;;0;;90;;0;;0
660caffc05dcb5110ab89e26a2fce5995651157b;;Ivan Kupriyanov;;Thu Oct 10 22:05:15 2024 +0200;;Support SvgAElement in batik and dom;;87;;87;;0;;70;;70;;0
c2b2aae0efdf75788a3d7aee01d1cab6d157db67;;Ivan Kupriyanov;;Thu Oct 10 16:51:26 2024 +0200;;Display pointer cursor when hovering over links in the Batik;;34;;34;;0;;20;;20;;0
